, Sort 1, Sort 2, Sort 3
10, 51788, 19799, 2890369
20, 21037, 50465, 401932
40, 61877, 58053, 203403
80, 182563, 86669, 340960
160, 749977, 271464, 528312
320, 4165966, 364962, 1224353
640, 5374686, 469398, 1765319
1280, 15374252, 771230, 1352303
2560, 56401688, 1452825, 2524430
5120, 170715252, 5460190, 6010646
