, Sort 1, Sort 2, Sort 3
10, 18, 40, 52
20, 73, 99, 163
40, 423, 255, 352
80, 1502, 642, 923
160, 6475, 1423, 2009
320, 26500, 3393, 4266
640, 102059, 7889, 9412
1280, 410138, 17127, 22250
2560, 1638873, 37883, 47128
5120, 6514045, 85852, 103187
